index,team,player_1,player_2,score_1,score_2
766,Delhi Capitals,A Mishra,I Sharma,0,10
767,Chennai Super Kings,SR Watson,F du Plessis,7,26
768,Chennai Super Kings,SR Watson,SK Raina,26,8
769,Chennai Super Kings,AT Rayudu,SR Watson,1,2
770,Chennai Super Kings,MS Dhoni,SR Watson,2,6
771,Chennai Super Kings,SR Watson,DJ Bravo,35,15
772,Chennai Super Kings,SR Watson,RA Jadeja,4,5
773,Chennai Super Kings,RA Jadeja,SN Thakur,0,2
774,Mumbai Indians,RG Sharma,Q de Kock,15,29
775,Mumbai Indians,RG Sharma,SA Yadav,0,0
776,Mumbai Indians,SA Yadav,Ishan Kishan,15,20
777,Mumbai Indians,KH Pandya,Ishan Kishan,7,0
778,Mumbai Indians,KA Pollard,Ishan Kishan,9,3
779,Mumbai Indians,KA Pollard,HH Pandya,23,16
780,Mumbai Indians,KA Pollard,RD Chahar,0,0
781,Mumbai Indians,KA Pollard,MJ McClenaghan,1,0
782,Mumbai Indians,KA Pollard,JJ Bumrah,8,0
